=== Imitation Learning Raw Episode Data ===
Training Started: 2025-09-05_14:49:08
Number of Environments: 30

Learner Loss env 1,Learner Rewards env 1,Learner Dones env 1,Expert Rewards env 1,Expert Dones env 1,Learner Loss env 2,Learner Rewards env 2,Learner Dones env 2,Expert Rewards env 2,Expert Dones env 2,Learner Loss env 3,Learner Rewards env 3,Learner Dones env 3,Expert Rewards env 3,Expert Dones env 3,Learner Loss env 4,Learner Rewards env 4,Learner Dones env 4,Expert Rewards env 4,Expert Dones env 4,Learner Loss env 5,Learner Rewards env 5,Learner Dones env 5,Expert Rewards env 5,Expert Dones env 5,Learner Loss env 6,Learner Rewards env 6,Learner Dones env 6,Expert Rewards env 6,Expert Dones env 6,Learner Loss env 7,Learner Rewards env 7,Learner Dones env 7,Expert Rewards env 7,Expert Dones env 7,Learner Loss env 8,Learner Rewards env 8,Learner Dones env 8,Expert Rewards env 8,Expert Dones env 8,Learner Loss env 9,Learner Rewards env 9,Learner Dones env 9,Expert Rewards env 9,Expert Dones env 9,Learner Loss env 10,Learner Rewards env 10,Learner Dones env 10,Expert Rewards env 10,Expert Dones env 10,Learner Loss env 11,Learner Rewards env 11,Learner Dones env 11,Expert Rewards env 11,Expert Dones env 11,Learner Loss env 12,Learner Rewards env 12,Learner Dones env 12,Expert Rewards env 12,Expert Dones env 12,Learner Loss env 13,Learner Rewards env 13,Learner Dones env 13,Expert Rewards env 13,Expert Dones env 13,Learner Loss env 14,Learner Rewards env 14,Learner Dones env 14,Expert Rewards env 14,Expert Dones env 14,Learner Loss env 15,Learner Rewards env 15,Learner Dones env 15,Expert Rewards env 15,Expert Dones env 15,Learner Loss env 16,Learner Rewards env 16,Learner Dones env 16,Expert Rewards env 16,Expert Dones env 16,Learner Loss env 17,Learner Rewards env 17,Learner Dones env 17,Expert Rewards env 17,Expert Dones env 17,Learner Loss env 18,Learner Rewards env 18,Learner Dones env 18,Expert Rewards env 18,Expert Dones env 18,Learner Loss env 19,Learner Rewards env 19,Learner Dones env 19,Expert Rewards env 19,Expert Dones env 19,Learner Loss env 20,Learner Rewards env 20,Learner Dones env 20,Expert Rewards env 20,Expert Dones env 20,Learner Loss env 21,Learner Rewards env 21,Learner Dones env 21,Expert Rewards env 21,Expert Dones env 21,Learner Loss env 22,Learner Rewards env 22,Learner Dones env 22,Expert Rewards env 22,Expert Dones env 22,Learner Loss env 23,Learner Rewards env 23,Learner Dones env 23,Expert Rewards env 23,Expert Dones env 23,Learner Loss env 24,Learner Rewards env 24,Learner Dones env 24,Expert Rewards env 24,Expert Dones env 24,Learner Loss env 25,Learner Rewards env 25,Learner Dones env 25,Expert Rewards env 25,Expert Dones env 25,Learner Loss env 26,Learner Rewards env 26,Learner Dones env 26,Expert Rewards env 26,Expert Dones env 26,Learner Loss env 27,Learner Rewards env 27,Learner Dones env 27,Expert Rewards env 27,Expert Dones env 27,Learner Loss env 28,Learner Rewards env 28,Learner Dones env 28,Expert Rewards env 28,Expert Dones env 28,Learner Loss env 29,Learner Rewards env 29,Learner Dones env 29,Expert Rewards env 29,Expert Dones env 29,Learner Loss env 30,Learner Rewards env 30,Learner Dones env 30,Expert Rewards env 30,Expert Dones env 30
0.854922,2.758250,0.000000,8.218805,100.000000,0.854922,3.907259,100.000000,8.391797,100.000000,0.854922,3.356320,100.000000,8.280228,100.000000,0.854922,3.472816,100.000000,6.768945,0.000000,0.854922,2.734411,0.000000,8.590573,100.000000,0.854922,2.421153,0.000000,8.315240,100.000000,0.854922,3.803185,100.000000,8.113801,100.000000,0.854922,2.976256,0.000000,8.168599,100.000000,0.854922,3.522972,100.000000,8.267411,100.000000,0.854922,3.370724,100.000000,8.094343,100.000000,0.854922,3.530283,100.000000,8.163199,100.000000,0.854922,3.632818,100.000000,8.086139,100.000000,0.854922,3.343616,100.000000,8.537788,100.000000,0.854922,2.910952,0.000000,8.377978,100.000000,0.854922,3.032962,100.000000,8.278712,100.000000,0.854922,3.293202,100.000000,8.467460,100.000000,0.854922,2.907035,100.000000,8.415220,100.000000,0.854922,3.522478,100.000000,8.128968,100.000000,0.854922,3.342181,100.000000,8.297092,100.000000,0.854922,3.298271,100.000000,8.117373,100.000000,0.854922,2.530990,0.000000,8.195878,100.000000,0.854922,2.606645,0.000000,7.038068,0.000000,0.854922,3.310675,100.000000,8.466997,100.000000,0.854922,3.639258,100.000000,8.206513,100.000000,0.854922,3.121306,100.000000,8.474295,100.000000,0.854922,2.838598,100.000000,8.252466,100.000000,0.854922,2.283504,0.000000,8.160424,100.000000,0.854922,3.509688,100.000000,8.397765,100.000000,0.854922,2.574505,0.000000,8.271170,100.000000,0.854922,2.563074,0.000000,8.123858,100.000000
0.248304,2.834002,0.000000,2.242428,100.000000,0.248304,3.498247,100.000000,2.501540,100.000000,0.248304,3.411737,100.000000,2.495534,100.000000,0.248304,3.589787,100.000000,2.314526,100.000000,0.248304,3.270535,100.000000,2.224438,100.000000,0.248304,3.264402,100.000000,2.494682,100.000000,0.248304,3.492329,100.000000,2.241541,100.000000,0.248304,2.694486,0.000000,2.570214,100.000000,0.248304,3.333180,100.000000,2.273246,100.000000,0.248304,3.425165,100.000000,2.277114,100.000000,0.248304,3.629358,100.000000,2.695332,100.000000,0.248304,3.162936,100.000000,2.312774,100.000000,0.248304,3.224473,100.000000,2.399369,100.000000,0.248304,2.958298,0.000000,2.418971,100.000000,0.248304,3.544857,100.000000,2.286756,100.000000,0.248304,3.468257,100.000000,2.334840,100.000000,0.248304,2.717718,0.000000,2.236684,100.000000,0.248304,3.203567,100.000000,2.410538,100.000000,0.248304,3.043854,0.000000,2.512947,100.000000,0.248304,3.250007,0.000000,2.439250,100.000000,0.248304,2.380323,0.000000,2.545285,100.000000,0.248304,3.581143,100.000000,2.426467,100.000000,0.248304,2.964955,100.000000,2.595664,100.000000,0.248304,3.352119,100.000000,2.203485,100.000000,0.248304,3.337611,100.000000,2.242138,100.000000,0.248304,3.239589,100.000000,2.458677,100.000000,0.248304,3.331039,100.000000,2.534936,100.000000,0.248304,3.212871,100.000000,2.336299,100.000000,0.248304,3.341152,100.000000,2.423874,100.000000,0.248304,3.306504,100.000000,2.349398,100.000000
0.140130,3.274061,100.000000,5.372039,100.000000,0.140130,3.313937,100.000000,5.650032,100.000000,0.140130,3.405922,100.000000,5.411150,100.000000,0.140130,3.549573,100.000000,5.151513,100.000000,0.140130,3.591830,100.000000,5.571887,100.000000,0.140130,3.378532,100.000000,4.462414,100.000000,0.140130,3.318826,100.000000,5.327527,100.000000,0.140130,3.476576,100.000000,4.373907,100.000000,0.140130,3.280538,100.000000,5.310775,100.000000,0.140130,3.568193,100.000000,5.225268,100.000000,0.140130,3.406595,100.000000,5.420557,100.000000,0.140130,3.397690,100.000000,5.158914,100.000000,0.140130,3.204808,0.000000,5.477872,100.000000,0.140130,2.453139,0.000000,5.498364,100.000000,0.140130,3.536320,100.000000,5.424652,100.000000,0.140130,3.338861,100.000000,5.541858,100.000000,0.140130,3.252064,100.000000,5.172467,100.000000,0.140130,3.573756,100.000000,5.337237,100.000000,0.140130,3.292760,100.000000,5.410417,100.000000,0.140130,3.226439,100.000000,5.283152,100.000000,0.140130,3.278426,100.000000,5.181231,100.000000,0.140130,3.607551,100.000000,5.361828,100.000000,0.140130,3.600163,100.000000,5.435642,100.000000,0.140130,3.321787,100.000000,5.590612,100.000000,0.140130,2.959747,0.000000,5.211573,100.000000,0.140130,3.279732,100.000000,5.253909,100.000000,0.140130,3.322128,100.000000,5.582489,100.000000,0.140130,3.513448,100.000000,5.467088,100.000000,0.140130,3.330116,100.000000,5.502821,100.000000,0.140130,3.542602,100.000000,5.265874,100.000000
0.114171,3.290702,100.000000,2.433765,100.000000,0.114171,3.444938,100.000000,2.397325,100.000000,0.114171,3.242759,100.000000,2.367493,100.000000,0.114171,3.637227,100.000000,2.583730,100.000000,0.114171,3.262934,100.000000,2.495619,100.000000,0.114171,3.423441,100.000000,2.558641,100.000000,0.114171,3.285850,100.000000,2.290959,100.000000,0.114171,3.631765,100.000000,2.209291,100.000000,0.114171,3.543483,100.000000,2.406378,100.000000,0.114171,3.479966,100.000000,2.324907,100.000000,0.114171,3.676951,100.000000,2.574386,100.000000,0.114171,3.621357,100.000000,2.712736,100.000000,0.114171,3.589478,100.000000,2.323207,100.000000,0.114171,3.393140,100.000000,2.526994,100.000000,0.114171,3.009231,0.000000,2.289586,100.000000,0.114171,3.307295,100.000000,2.413116,100.000000,0.114171,3.526773,100.000000,2.567417,100.000000,0.114171,2.585335,0.000000,2.291255,100.000000,0.114171,3.421773,100.000000,2.537668,100.000000,0.114171,3.607506,100.000000,2.397840,100.000000,0.114171,3.425853,100.000000,2.200167,100.000000,0.114171,2.705766,0.000000,2.344806,100.000000,0.114171,3.220751,100.000000,2.250500,100.000000,0.114171,3.329013,100.000000,2.663746,100.000000,0.114171,3.426066,100.000000,2.315238,100.000000,0.114171,3.473931,100.000000,2.619190,100.000000,0.114171,3.464606,100.000000,2.440410,100.000000,0.114171,3.291567,100.000000,2.425725,100.000000,0.114171,3.570546,100.000000,2.445544,100.000000,0.114171,3.578127,100.000000,2.320249,100.000000
0.112011,3.249972,100.000000,3.384026,100.000000,0.112011,3.583631,100.000000,3.525376,100.000000,0.112011,3.365589,100.000000,3.250144,100.000000,0.112011,3.285454,100.000000,3.189566,100.000000,0.112011,3.511141,100.000000,3.434917,100.000000,0.112011,3.172087,100.000000,3.303724,100.000000,0.112011,3.347452,100.000000,3.273400,100.000000,0.112011,3.607277,100.000000,3.607010,100.000000,0.112011,3.389223,100.000000,3.283165,100.000000,0.112011,3.211555,100.000000,3.564623,100.000000,0.112011,3.296645,100.000000,2.879395,100.000000,0.112011,3.459467,100.000000,3.311565,100.000000,0.112011,3.270866,100.000000,3.318790,100.000000,0.112011,3.354970,100.000000,3.263087,100.000000,0.112011,3.307845,100.000000,3.408880,100.000000,0.112011,3.272551,100.000000,3.287101,100.000000,0.112011,3.642393,100.000000,3.625058,100.000000,0.112011,3.321490,100.000000,3.332459,100.000000,0.112011,3.370485,100.000000,3.288302,100.000000,0.112011,3.347409,100.000000,3.304985,100.000000,0.112011,3.543933,100.000000,3.249080,100.000000,0.112011,3.340976,100.000000,3.380828,100.000000,0.112011,3.206112,100.000000,3.405711,100.000000,0.112011,3.259002,100.000000,3.539003,100.000000,0.112011,3.316446,100.000000,3.522389,100.000000,0.112011,3.685751,100.000000,3.595458,100.000000,0.112011,3.507429,100.000000,3.647766,100.000000,0.112011,3.265311,100.000000,3.408727,100.000000,0.112011,3.465616,100.000000,2.839092,100.000000,0.112011,3.509831,100.000000,3.184197,100.000000
0.113071,3.357867,100.000000,4.546185,100.000000,0.113071,3.432805,100.000000,4.243316,100.000000,0.113071,3.379086,100.000000,3.676964,100.000000,0.113071,3.246924,100.000000,4.241893,100.000000,0.113071,3.595363,100.000000,4.469441,100.000000,0.113071,3.653452,100.000000,4.599542,100.000000,0.113071,3.588026,100.000000,4.406136,100.000000,0.113071,3.385034,100.000000,4.500555,100.000000,0.113071,3.549529,100.000000,3.979226,100.000000,0.113071,3.303970,100.000000,4.274632,100.000000,0.113071,3.582907,100.000000,4.299640,100.000000,0.113071,3.281667,100.000000,4.223069,100.000000,0.113071,3.298038,100.000000,4.188497,100.000000,0.113071,3.656280,100.000000,4.258247,100.000000,0.113071,3.742915,100.000000,4.302847,100.000000,0.113071,3.329236,100.000000,4.218153,100.000000,0.113071,3.262115,100.000000,4.444516,100.000000,0.113071,3.254064,100.000000,4.662780,100.000000,0.113071,3.383280,100.000000,4.349763,100.000000,0.113071,3.384753,0.000000,4.300805,100.000000,0.113071,3.250407,100.000000,4.210094,100.000000,0.113071,3.588020,100.000000,4.362880,100.000000,0.113071,3.252278,100.000000,4.311053,100.000000,0.113071,3.279587,100.000000,4.428553,100.000000,0.113071,3.483634,100.000000,4.371120,100.000000,0.113071,3.549505,100.000000,4.413917,100.000000,0.113071,3.317596,100.000000,4.200751,100.000000,0.113071,3.354472,100.000000,4.204024,100.000000,0.113071,3.252523,0.000000,4.594342,100.000000,0.113071,3.267587,100.000000,4.358480,100.000000
0.123851,3.289902,100.000000,8.140857,100.000000,0.123851,3.266510,100.000000,8.524149,100.000000,0.123851,3.295597,100.000000,8.240698,100.000000,0.123851,3.353173,100.000000,8.544519,100.000000,0.123851,3.400245,100.000000,8.285659,100.000000,0.123851,3.343883,100.000000,8.080466,100.000000,0.123851,3.698833,100.000000,8.423491,100.000000,0.123851,3.575576,100.000000,8.118001,100.000000,0.123851,3.475700,100.000000,8.189386,100.000000,0.123851,3.595263,100.000000,5.669899,0.000000,0.123851,3.650709,100.000000,8.182624,100.000000,0.123851,3.388615,100.000000,8.360408,100.000000,0.123851,3.387411,100.000000,8.519400,100.000000,0.123851,3.443059,100.000000,8.205892,100.000000,0.123851,3.349611,100.000000,8.579643,100.000000,0.123851,3.466835,100.000000,8.245627,100.000000,0.123851,3.178946,100.000000,8.507057,100.000000,0.123851,3.471321,100.000000,8.294147,100.000000,0.123851,3.307538,100.000000,8.228686,100.000000,0.123851,3.084335,0.000000,8.136809,100.000000,0.123851,3.352146,100.000000,8.582528,100.000000,0.123851,3.527051,100.000000,8.109155,100.000000,0.123851,3.518195,0.000000,8.272840,100.000000,0.123851,3.305091,100.000000,8.586827,100.000000,0.123851,3.241681,100.000000,8.435864,100.000000,0.123851,3.459264,100.000000,8.178802,100.000000,0.123851,3.320997,100.000000,8.092754,100.000000,0.123851,2.911671,100.000000,8.123867,100.000000,0.123851,3.587153,100.000000,8.316596,100.000000,0.123851,3.551697,100.000000,8.418230,100.000000
0.112936,3.281860,100.000000,8.391868,100.000000,0.112936,3.611591,100.000000,8.159963,100.000000,0.112936,3.379832,100.000000,8.427121,100.000000,0.112936,3.534736,100.000000,8.108132,100.000000,0.112936,3.338663,100.000000,8.191139,100.000000,0.112936,3.475031,100.000000,8.410819,100.000000,0.112936,3.334663,100.000000,8.143538,100.000000,0.112936,3.525939,100.000000,8.304638,100.000000,0.112936,3.434052,100.000000,8.113165,100.000000,0.112936,3.278197,100.000000,8.196383,100.000000,0.112936,3.272973,100.000000,7.143397,0.000000,0.112936,3.455913,100.000000,8.472006,100.000000,0.112936,3.471303,100.000000,8.533428,100.000000,0.112936,3.263975,100.000000,8.162657,100.000000,0.112936,3.323564,100.000000,7.053274,0.000000,0.112936,3.641137,100.000000,8.207330,100.000000,0.112936,3.584626,100.000000,8.426327,100.000000,0.112936,3.456929,100.000000,8.118322,100.000000,0.112936,3.654533,100.000000,8.131233,100.000000,0.112936,3.307736,100.000000,8.117253,100.000000,0.112936,3.358241,100.000000,8.223831,100.000000,0.112936,3.392071,100.000000,8.199330,100.000000,0.112936,3.353600,100.000000,8.470123,100.000000,0.112936,3.335277,100.000000,8.183683,100.000000,0.112936,3.279322,100.000000,8.079152,100.000000,0.112936,3.517733,100.000000,8.537270,100.000000,0.112936,3.568982,100.000000,8.373457,100.000000,0.112936,3.316787,100.000000,8.176254,100.000000,0.112936,3.255494,100.000000,8.548686,100.000000,0.112936,3.151292,0.000000,8.242438,100.000000
0.083841,3.272965,100.000000,2.349377,100.000000,0.083841,3.198605,100.000000,2.608576,100.000000,0.083841,3.249590,100.000000,2.579777,100.000000,0.083841,3.239625,100.000000,2.503611,100.000000,0.083841,3.324923,100.000000,2.448031,100.000000,0.083841,3.342519,100.000000,2.626948,100.000000,0.083841,3.538823,100.000000,2.629198,100.000000,0.083841,3.248584,100.000000,2.298414,100.000000,0.083841,3.689886,100.000000,2.539823,100.000000,0.083841,3.436747,100.000000,2.358894,100.000000,0.083841,3.691425,100.000000,2.430998,100.000000,0.083841,3.221036,100.000000,2.366671,100.000000,0.083841,3.427650,100.000000,2.368667,100.000000,0.083841,3.503660,100.000000,2.329535,100.000000,0.083841,3.471744,100.000000,2.306778,100.000000,0.083841,3.493239,100.000000,2.447371,100.000000,0.083841,3.235757,100.000000,2.406140,100.000000,0.083841,3.386519,100.000000,2.402587,100.000000,0.083841,3.312694,100.000000,2.284432,100.000000,0.083841,3.468937,100.000000,2.582241,100.000000,0.083841,3.067411,0.000000,2.269014,100.000000,0.083841,2.918960,100.000000,2.374916,100.000000,0.083841,3.194996,100.000000,2.462442,100.000000,0.083841,3.266413,100.000000,2.257896,100.000000,0.083841,3.423381,100.000000,2.246396,100.000000,0.083841,3.514581,100.000000,2.434298,100.000000,0.083841,3.489009,100.000000,2.269364,100.000000,0.083841,3.703295,100.000000,2.752937,100.000000,0.083841,3.325344,100.000000,2.376187,100.000000,0.083841,3.419402,100.000000,2.596854,100.000000
0.086097,3.535843,100.000000,4.186980,100.000000,0.086097,3.516785,100.000000,4.520604,100.000000,0.086097,3.292087,100.000000,4.405209,100.000000,0.086097,3.184908,100.000000,4.528356,100.000000,0.086097,3.509966,100.000000,4.187105,100.000000,0.086097,3.231359,100.000000,4.430756,100.000000,0.086097,3.481398,100.000000,4.446342,100.000000,0.086097,3.235414,100.000000,4.292387,100.000000,0.086097,3.428131,100.000000,4.313209,100.000000,0.086097,3.379190,100.000000,4.219113,100.000000,0.086097,3.374101,100.000000,4.156192,100.000000,0.086097,3.269105,100.000000,4.207889,100.000000,0.086097,3.316285,100.000000,4.606203,100.000000,0.086097,3.463946,100.000000,3.521722,100.000000,0.086097,3.513039,100.000000,4.176963,100.000000,0.086097,3.599079,100.000000,4.421896,100.000000,0.086097,2.664334,0.000000,4.311159,100.000000,0.086097,3.676760,100.000000,4.696279,100.000000,0.086097,3.296788,100.000000,4.287848,100.000000,0.086097,3.412116,100.000000,4.302106,100.000000,0.086097,3.393765,100.000000,4.644089,100.000000,0.086097,3.504958,100.000000,4.657409,100.000000,0.086097,3.657937,100.000000,4.424837,100.000000,0.086097,3.288890,100.000000,4.608815,100.000000,0.086097,3.379311,100.000000,4.650198,100.000000,0.086097,3.467180,100.000000,4.499023,100.000000,0.086097,3.209940,100.000000,4.349755,100.000000,0.086097,3.220059,100.000000,4.416022,100.000000,0.086097,3.173338,100.000000,4.182152,100.000000,0.086097,3.466844,100.000000,4.216005,100.000000
