=== FINAL Imitation Learning Raw Training Data ===
Timestamp: 2025-09-05_15:29:19
Total Episodes: 200
Total Runtime: 39m 28s
Training Efficiency: 11.84 seconds per episode

=== Complete Raw Episode Data ===
Episode,IL_Loss,IL_Reward,IL_Completion(%),Expert_Reward,Expert_Completion(%)
9,0.854922,212.8440,67.78,245.6671,93.33
19,0.248304,222.4795,92.22,71.7989,100.00
29,0.140130,195.8909,91.11,159.4351,100.00
39,0.114171,245.9128,90.00,72.7279,100.00
49,0.112011,150.0748,97.78,100.6078,100.00
59,0.113071,160.3944,96.67,129.6414,100.00
69,0.123851,130.6303,97.78,246.5949,96.67
79,0.112936,110.2776,100.00,245.8462,93.33
89,0.083841,140.5705,97.78,72.9084,100.00
99,0.086097,149.5843,98.89,130.8666,100.00
109,0.101961,188.6391,97.78,247.4882,96.67
119,0.112081,197.6712,97.78,245.9808,96.67
129,0.101918,150.1989,98.89,245.2871,96.67
139,0.119241,101.6922,100.00,72.0797,100.00
149,0.117302,207.7544,97.78,246.4227,96.67
159,0.122353,131.1919,98.89,130.3243,100.00
169,0.126257,196.8421,97.78,131.0365,100.00
179,0.119509,140.2339,97.78,159.1430,100.00
189,0.118993,159.9755,98.89,72.4713,100.00
199,0.114186,179.4291,96.67,246.2169,96.67
