=== FINAL Imitation Learning Raw Training Data ===
Timestamp: 2025-09-05_12:38:35
Total Episodes: 200
Total Runtime: 31m 0s
Training Efficiency: 9.30 seconds per episode

=== Complete Raw Episode Data ===
Episode,IL_Loss,IL_Reward,IL_Completion(%),Expert_Reward,Expert_Completion(%)
9,1.194133,88.6733,35.56,73.6288,100.00
19,0.399104,96.4514,68.89,102.6251,96.67
29,0.204680,100.1597,94.44,101.8574,100.00
39,0.166265,101.3495,94.44,101.2750,96.67
49,0.156891,101.8488,95.56,101.2239,93.33
59,0.147797,100.7025,93.33,101.5558,96.67
69,0.133775,101.2411,100.00,101.2438,100.00
79,0.131887,100.3823,93.33,100.5552,100.00
89,0.117211,100.9267,95.56,74.7877,100.00
99,0.135915,90.9510,95.56,101.0803,93.33
109,0.127540,100.3648,90.00,101.5049,93.33
119,0.140994,100.6748,96.67,101.5667,96.67
129,0.137446,100.9901,96.67,101.1696,96.67
139,0.131199,101.3752,92.22,102.1355,96.67
149,0.123310,101.0382,95.56,100.1509,96.67
159,0.128726,102.0441,95.56,101.2132,100.00
169,0.130251,101.9761,93.33,101.9982,100.00
179,0.131564,92.2473,97.78,102.9819,100.00
189,0.138669,92.3562,98.89,100.9984,96.67
199,0.133838,101.1528,98.89,102.4572,100.00
